X0,Y0,Z0,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37,X38,Y38,Z38,X39,Y39,Z39,X40,Y40,Z40,X41,Y41,Z41,X42,Y42,Z42,X43,Y43,Z43,X44,Y44,Z44,X45,Y45,Z45,X46,Y46,Z46,X47,Y47,Z47,X48,Y48,Z48,X49,Y49,Z49,X50,Y50,Z50,X51,Y51,Z51,X52,Y52,Z52,X53,Y53,Z53,X54,Y54,Z54,X55,Y55,Z55,X56,Y56,Z56,X57,Y57,Z57,X58,Y58,Z58,X59,Y59,Z59,X60,Y60,Z60,X61,Y61,Z61,X62,Y62,Z62,X63,Y63,Z63
0.75,0,0.25,0.746388545,0.073512855,0.25,0.73558896,0.146317742,0.25,0.717705252,0.217713508,0.25,0.692909649,0.287012574,0.25,0.661440948,0.353547553,0.25,0.623602209,0.416677675,0.25,0.57975784,0.475794963,0.25,0.530330086,0.530330086,0.25,0.475794963,0.57975784,0.25,0.416677675,0.623602209,0.25,0.353547553,0.661440948,0.25,0.287012574,0.692909649,0.25,0.217713508,0.717705252,0.25,0.146317742,0.73558896,0.25,0.073512855,0.746388545,0.25,8.7861E-16,0.75,0.25,-0.073512855,0.746388545,0.25,-0.146317742,0.73558896,0.25,-0.217713508,0.717705252,0.25,-0.287012574,0.692909649,0.25,-0.353547553,0.661440948,0.25,-0.416677675,0.623602209,0.25,-0.475794963,0.57975784,0.25,-0.530330086,0.530330086,0.25,-0.57975784,0.475794963,0.25,-0.623602209,0.416677675,0.25,-0.661440948,0.353547553,0.25,-0.692909649,0.287012574,0.25,-0.717705252,0.217713508,0.25,-0.73558896,0.146317742,0.25,-0.746388545,0.073512855,0.25,-0.75,-3.57185E-15,0.25,-0.746388545,-0.073512855,0.25,-0.73558896,-0.146317742,0.25,-0.717705252,-0.217713508,0.25,-0.692909649,-0.287012574,0.25,-0.661440948,-0.353547553,0.25,-0.623602209,-0.416677675,0.25,-0.57975784,-0.475794963,0.25,-0.530330086,-0.530330086,0.25,-0.475794963,-0.57975784,0.25,-0.416677675,-0.623602209,0.25,-0.353547553,-0.661440948,0.25,-0.287012574,-0.692909649,0.25,-0.217713508,-0.717705252,0.25,-0.146317742,-0.73558896,0.25,-0.073512855,-0.746388545,0.25,9.85418E-15,-0.75,0.25,0.073512855,-0.746388545,0.25,0.146317742,-0.73558896,0.25,0.217713508,-0.717705252,0.25,0.287012574,-0.692909649,0.25,0.353547553,-0.661440948,0.25,0.416677675,-0.623602209,0.25,0.475794963,-0.57975784,0.25,0.530330086,-0.530330086,0.25,0.57975784,-0.475794963,0.25,0.623602209,-0.416677675,0.25,0.661440948,-0.353547553,0.25,0.692909649,-0.287012574,0.25,0.717705252,-0.217713508,0.25,0.73558896,-0.146317742,0.25,0.746388545,-0.073512855,0.25
0.723867884,0,0.248630474,0.720382262,0.07095146,0.248630474,0.709958966,0.141219619,0.248630474,0.692698376,0.210127755,0.248630474,0.668766722,0.277012246,0.248630474,0.63839448,0.341228958,0.248630474,0.601874149,0.402159449,0.248630474,0.559557441,0.459216924,0.248630474,0.51185189,0.51185189,0.248630474,0.459216924,0.559557441,0.248630474,0.402159449,0.601874149,0.248630474,0.341228958,0.63839448,0.248630474,0.277012246,0.668766722,0.248630474,0.210127755,0.692698376,0.248630474,0.141219619,0.709958966,0.248630474,0.07095146,0.720382262,0.248630474,8.47997E-16,0.723867884,0.248630474,-0.07095146,0.720382262,0.248630474,-0.141219619,0.709958966,0.248630474,-0.210127755,0.692698376,0.248630474,-0.277012246,0.668766722,0.248630474,-0.341228958,0.63839448,0.248630474,-0.402159449,0.601874149,0.248630474,-0.459216924,0.559557441,0.248630474,-0.51185189,0.51185189,0.248630474,-0.559557441,0.459216924,0.248630474,-0.601874149,0.402159449,0.248630474,-0.63839448,0.341228958,0.248630474,-0.668766722,0.277012246,0.248630474,-0.692698376,0.210127755,0.248630474,-0.709958966,0.141219619,0.248630474,-0.720382262,0.07095146,0.248630474,-0.723867884,-3.4474E-15,0.248630474,-0.720382262,-0.07095146,0.248630474,-0.709958966,-0.141219619,0.248630474,-0.692698376,-0.210127755,0.248630474,-0.668766722,-0.277012246,0.248630474,-0.63839448,-0.341228958,0.248630474,-0.601874149,-0.402159449,0.248630474,-0.559557441,-0.459216924,0.248630474,-0.51185189,-0.51185189,0.248630474,-0.459216924,-0.559557441,0.248630474,-0.402159449,-0.601874149,0.248630474,-0.341228958,-0.63839448,0.248630474,-0.277012246,-0.668766722,0.248630474,-0.210127755,-0.692698376,0.248630474,-0.141219619,-0.709958966,0.248630474,-0.07095146,-0.720382262,0.248630474,9.51083E-15,-0.723867884,0.248630474,0.07095146,-0.720382262,0.248630474,0.141219619,-0.709958966,0.248630474,0.210127755,-0.692698376,0.248630474,0.277012246,-0.668766722,0.248630474,0.341228958,-0.63839448,0.248630474,0.402159449,-0.601874149,0.248630474,0.459216924,-0.559557441,0.248630474,0.51185189,-0.51185189,0.248630474,0.559557441,-0.459216924,0.248630474,0.601874149,-0.402159449,0.248630474,0.63839448,-0.341228958,0.248630474,0.668766722,-0.277012246,0.248630474,0.692698376,-0.210127755,0.248630474,0.709958966,-0.141219619,0.248630474,0.720382262,-0.07095146,0.248630474
0.698022077,0,0.2445369,0.69466091,0.068418128,0.2445369,0.684609779,0.136177352,0.2445369,0.667965481,0.202625113,0.2445369,0.64488831,0.267121484,0.2445369,0.615600513,0.329045329,0.2445369,0.580384146,0.387800288,0.2445369,0.539578362,0.442820518,0.2445369,0.493576144,0.493576144,0.2445369,0.442820518,0.539578362,0.2445369,0.387800288,0.580384146,0.2445369,0.329045329,0.615600513,0.2445369,0.267121484,0.64488831,0.2445369,0.202625113,0.667965481,0.2445369,0.136177352,0.684609779,0.2445369,0.068418128,0.69466091,0.2445369,8.17719E-16,0.698022077,0.2445369,-0.068418128,0.69466091,0.2445369,-0.136177352,0.684609779,0.2445369,-0.202625113,0.667965481,0.2445369,-0.267121484,0.64488831,0.2445369,-0.329045329,0.615600513,0.2445369,-0.387800288,0.580384146,0.2445369,-0.442820518,0.539578362,0.2445369,-0.493576144,0.493576144,0.2445369,-0.539578362,0.442820518,0.2445369,-0.580384146,0.387800288,0.2445369,-0.615600513,0.329045329,0.2445369,-0.64488831,0.267121484,0.2445369,-0.667965481,0.202625113,0.2445369,-0.684609779,0.136177352,0.2445369,-0.69466091,0.068418128,0.2445369,-0.698022077,-3.32431E-15,0.2445369,-0.69466091,-0.068418128,0.2445369,-0.684609779,-0.136177352,0.2445369,-0.667965481,-0.202625113,0.2445369,-0.64488831,-0.267121484,0.2445369,-0.615600513,-0.329045329,0.2445369,-0.580384146,-0.387800288,0.2445369,-0.539578362,-0.442820518,0.2445369,-0.493576144,-0.493576144,0.2445369,-0.442820518,-0.539578362,0.2445369,-0.387800288,-0.580384146,0.2445369,-0.329045329,-0.615600513,0.2445369,-0.267121484,-0.64488831,0.2445369,-0.202625113,-0.667965481,0.2445369,-0.136177352,-0.684609779,0.2445369,-0.068418128,-0.69466091,0.2445369,9.17125E-15,-0.698022077,0.2445369,0.068418128,-0.69466091,0.2445369,0.136177352,-0.684609779,0.2445369,0.202625113,-0.667965481,0.2445369,0.267121484,-0.64488831,0.2445369,0.329045329,-0.615600513,0.2445369,0.387800288,-0.580384146,0.2445369,0.442820518,-0.539578362,0.2445369,0.493576144,-0.493576144,0.2445369,0.539578362,-0.442820518,0.2445369,0.580384146,-0.387800288,0.2445369,0.615600513,-0.329045329,0.2445369,0.64488831,-0.267121484,0.2445369,0.667965481,-0.202625113,0.2445369,0.684609779,-0.136177352,0.2445369,0.69466091,-0.068418128,0.2445369
0.672745751,0,0.237764129,0.669506297,0.065940615,0.237764129,0.65981913,0.131246185,0.237764129,0.643777545,0.195287783,0.237764129,0.62153603,0.257448653,0.237764129,0.593308784,0.317130152,0.237764129,0.559367649,0.373757514,0.237764129,0.520039498,0.426785387,0.237764129,0.475703083,0.475703083,0.237764129,0.426785387,0.520039498,0.237764129,0.373757514,0.559367649,0.237764129,0.317130152,0.593308784,0.237764129,0.257448653,0.62153603,0.237764129,0.195287783,0.643777545,0.237764129,0.131246185,0.65981913,0.237764129,0.065940615,0.669506297,0.237764129,7.88108E-16,0.672745751,0.237764129,-0.065940615,0.669506297,0.237764129,-0.131246185,0.65981913,0.237764129,-0.195287783,0.643777545,0.237764129,-0.257448653,0.62153603,0.237764129,-0.317130152,0.593308784,0.237764129,-0.373757514,0.559367649,0.237764129,-0.426785387,0.520039498,0.237764129,-0.475703083,0.475703083,0.237764129,-0.520039498,0.426785387,0.237764129,-0.559367649,0.373757514,0.237764129,-0.593308784,0.317130152,0.237764129,-0.62153603,0.257448653,0.237764129,-0.643777545,0.195287783,0.237764129,-0.65981913,0.131246185,0.237764129,-0.669506297,0.065940615,0.237764129,-0.672745751,-3.20393E-15,0.237764129,-0.669506297,-0.065940615,0.237764129,-0.65981913,-0.131246185,0.237764129,-0.643777545,-0.195287783,0.237764129,-0.62153603,-0.257448653,0.237764129,-0.593308784,-0.317130152,0.237764129,-0.559367649,-0.373757514,0.237764129,-0.520039498,-0.426785387,0.237764129,-0.475703083,-0.475703083,0.237764129,-0.426785387,-0.520039498,0.237764129,-0.373757514,-0.559367649,0.237764129,-0.317130152,-0.593308784,0.237764129,-0.257448653,-0.62153603,0.237764129,-0.195287783,-0.643777545,0.237764129,-0.131246185,-0.65981913,0.237764129,-0.065940615,-0.669506297,0.237764129,8.83914E-15,-0.672745751,0.237764129,0.065940615,-0.669506297,0.237764129,0.131246185,-0.65981913,0.237764129,0.195287783,-0.643777545,0.237764129,0.257448653,-0.62153603,0.237764129,0.317130152,-0.593308784,0.237764129,0.373757514,-0.559367649,0.237764129,0.426785387,-0.520039498,0.237764129,0.475703083,-0.475703083,0.237764129,0.520039498,-0.426785387,0.237764129,0.559367649,-0.373757514,0.237764129,0.593308784,-0.317130152,0.237764129,0.62153603,-0.257448653,0.237764129,0.643777545,-0.195287783,0.237764129,0.65981913,-0.131246185,0.237764129,0.669506297,-0.065940615,0.237764129
0.648315839,0,0.228386364,0.645194021,0.063546065,0.228386364,0.635858632,0.126480146,0.228386364,0.620399577,0.188196154,0.228386364,0.598965734,0.248099731,0.228386364,0.571763525,0.305613971,0.228386364,0.539054919,0.360184982,0.228386364,0.501154921,0.411287214,0.228386364,0.458428526,0.458428526,0.228386364,0.411287214,0.501154921,0.228386364,0.360184982,0.539054919,0.228386364,0.305613971,0.571763525,0.228386364,0.248099731,0.598965734,0.228386364,0.188196154,0.620399577,0.228386364,0.126480146,0.635858632,0.228386364,0.063546065,0.645194021,0.228386364,7.59489E-16,0.648315839,0.228386364,-0.063546065,0.645194021,0.228386364,-0.126480146,0.635858632,0.228386364,-0.188196154,0.620399577,0.228386364,-0.248099731,0.598965734,0.228386364,-0.305613971,0.571763525,0.228386364,-0.360184982,0.539054919,0.228386364,-0.411287214,0.501154921,0.228386364,-0.458428526,0.458428526,0.228386364,-0.501154921,0.411287214,0.228386364,-0.539054919,0.360184982,0.228386364,-0.571763525,0.305613971,0.228386364,-0.598965734,0.248099731,0.228386364,-0.620399577,0.188196154,0.228386364,-0.635858632,0.126480146,0.228386364,-0.645194021,0.063546065,0.228386364,-0.648315839,-3.08758E-15,0.228386364,-0.645194021,-0.063546065,0.228386364,-0.635858632,-0.126480146,0.228386364,-0.620399577,-0.188196154,0.228386364,-0.598965734,-0.248099731,0.228386364,-0.571763525,-0.305613971,0.228386364,-0.539054919,-0.360184982,0.228386364,-0.501154921,-0.411287214,0.228386364,-0.458428526,-0.458428526,0.228386364,-0.411287214,-0.501154921,0.228386364,-0.360184982,-0.539054919,0.228386364,-0.305613971,-0.571763525,0.228386364,-0.248099731,-0.598965734,0.228386364,-0.188196154,-0.620399577,0.228386364,-0.126480146,-0.635858632,0.228386364,-0.063546065,-0.645194021,0.228386364,8.51816E-15,-0.648315839,0.228386364,0.063546065,-0.645194021,0.228386364,0.126480146,-0.635858632,0.228386364,0.188196154,-0.620399577,0.228386364,0.248099731,-0.598965734,0.228386364,0.305613971,-0.571763525,0.228386364,0.360184982,-0.539054919,0.228386364,0.411287214,-0.501154921,0.228386364,0.458428526,-0.458428526,0.228386364,0.501154921,-0.411287214,0.228386364,0.539054919,-0.360184982,0.228386364,0.571763525,-0.305613971,0.228386364,0.598965734,-0.248099731,0.228386364,0.620399577,-0.188196154,0.228386364,0.635858632,-0.126480146,0.228386364,0.645194021,-0.063546065,0.228386364
0.625,0,0.216506351,0.621990454,0.061260713,0.216506351,0.6129908,0.121931451,0.216506351,0.59808771,0.181427923,0.216506351,0.577424708,0.239177145,0.216506351,0.55120079,0.294622961,0.216506351,0.519668508,0.347231396,0.216506351,0.483131533,0.396495803,0.216506351,0.441941738,0.441941738,0.216506351,0.396495803,0.483131533,0.216506351,0.347231396,0.519668508,0.216506351,0.294622961,0.55120079,0.216506351,0.239177145,0.577424708,0.216506351,0.181427923,0.59808771,0.216506351,0.121931451,0.6129908,0.216506351,0.061260713,0.621990454,0.216506351,7.32175E-16,0.625,0.216506351,-0.061260713,0.621990454,0.216506351,-0.121931451,0.6129908,0.216506351,-0.181427923,0.59808771,0.216506351,-0.239177145,0.577424708,0.216506351,-0.294622961,0.55120079,0.216506351,-0.347231396,0.519668508,0.216506351,-0.396495803,0.483131533,0.216506351,-0.441941738,0.441941738,0.216506351,-0.483131533,0.396495803,0.216506351,-0.519668508,0.347231396,0.216506351,-0.55120079,0.294622961,0.216506351,-0.577424708,0.239177145,0.216506351,-0.59808771,0.181427923,0.216506351,-0.6129908,0.121931451,0.216506351,-0.621990454,0.061260713,0.216506351,-0.625,-2.97654E-15,0.216506351,-0.621990454,-0.061260713,0.216506351,-0.6129908,-0.121931451,0.216506351,-0.59808771,-0.181427923,0.216506351,-0.577424708,-0.239177145,0.216506351,-0.55120079,-0.294622961,0.216506351,-0.519668508,-0.347231396,0.216506351,-0.483131533,-0.396495803,0.216506351,-0.441941738,-0.441941738,0.216506351,-0.396495803,-0.483131533,0.216506351,-0.347231396,-0.519668508,0.216506351,-0.294622961,-0.55120079,0.216506351,-0.239177145,-0.577424708,0.216506351,-0.181427923,-0.59808771,0.216506351,-0.121931451,-0.6129908,0.216506351,-0.061260713,-0.621990454,0.216506351,8.21182E-15,-0.625,0.216506351,0.061260713,-0.621990454,0.216506351,0.121931451,-0.6129908,0.216506351,0.181427923,-0.59808771,0.216506351,0.239177145,-0.577424708,0.216506351,0.294622961,-0.55120079,0.216506351,0.347231396,-0.519668508,0.216506351,0.396495803,-0.483131533,0.216506351,0.441941738,-0.441941738,0.216506351,0.483131533,-0.396495803,0.216506351,0.519668508,-0.347231396,0.216506351,0.55120079,-0.294622961,0.216506351,0.577424708,-0.239177145,0.216506351,0.59808771,-0.181427923,0.216506351,0.6129908,-0.121931451,0.216506351,0.621990454,-0.061260713,0.216506351
0.603053687,0,0.202254249,0.600149819,0.059109598,0.202254249,0.591466179,0.117649938,0.202254249,0.577086398,0.175057245,0.202254249,0.557148958,0.230778655,0.202254249,0.53184587,0.28427754,0.202254249,0.501420815,0.335038677,0.202254249,0.466166804,0.382573209,0.202254249,0.426423351,0.426423351,0.202254249,0.382573209,0.466166804,0.202254249,0.335038677,0.501420815,0.202254249,0.28427754,0.53184587,0.202254249,0.230778655,0.557148958,0.202254249,0.175057245,0.577086398,0.202254249,0.117649938,0.591466179,0.202254249,0.059109598,0.600149819,0.202254249,7.06466E-16,0.603053687,0.202254249,-0.059109598,0.600149819,0.202254249,-0.117649938,0.591466179,0.202254249,-0.175057245,0.577086398,0.202254249,-0.230778655,0.557148958,0.202254249,-0.28427754,0.53184587,0.202254249,-0.335038677,0.501420815,0.202254249,-0.382573209,0.466166804,0.202254249,-0.426423351,0.426423351,0.202254249,-0.466166804,0.382573209,0.202254249,-0.501420815,0.335038677,0.202254249,-0.53184587,0.28427754,0.202254249,-0.557148958,0.230778655,0.202254249,-0.577086398,0.175057245,0.202254249,-0.591466179,0.117649938,0.202254249,-0.600149819,0.059109598,0.202254249,-0.603053687,-2.87202E-15,0.202254249,-0.600149819,-0.059109598,0.202254249,-0.591466179,-0.117649938,0.202254249,-0.577086398,-0.175057245,0.202254249,-0.557148958,-0.230778655,0.202254249,-0.53184587,-0.28427754,0.202254249,-0.501420815,-0.335038677,0.202254249,-0.466166804,-0.382573209,0.202254249,-0.426423351,-0.426423351,0.202254249,-0.382573209,-0.466166804,0.202254249,-0.335038677,-0.501420815,0.202254249,-0.28427754,-0.53184587,0.202254249,-0.230778655,-0.557148958,0.202254249,-0.175057245,-0.577086398,0.202254249,-0.117649938,-0.591466179,0.202254249,-0.059109598,-0.600149819,0.202254249,7.92346E-15,-0.603053687,0.202254249,0.059109598,-0.600149819,0.202254249,0.117649938,-0.591466179,0.202254249,0.175057245,-0.577086398,0.202254249,0.230778655,-0.557148958,0.202254249,0.28427754,-0.53184587,0.202254249,0.335038677,-0.501420815,0.202254249,0.382573209,-0.466166804,0.202254249,0.426423351,-0.426423351,0.202254249,0.466166804,-0.382573209,0.202254249,0.501420815,-0.335038677,0.202254249,0.53184587,-0.28427754,0.202254249,0.557148958,-0.230778655,0.202254249,0.577086398,-0.175057245,0.202254249,0.591466179,-0.117649938,0.202254249,0.600149819,-0.059109598,0.202254249
0.582717348,0,0.185786206,0.579911405,0.057116288,0.185786206,0.571520598,0.113682515,0.185786206,0.557625735,0.169153917,0.185786206,0.538360631,0.222996275,0.185786206,0.513910821,0.274691057,0.185786206,0.484511768,0.323740413,0.185786206,0.450446602,0.369671972,0.185786206,0.412043389,0.412043389,0.185786206,0.369671972,0.450446602,0.185786206,0.323740413,0.484511768,0.185786206,0.274691057,0.513910821,0.185786206,0.222996275,0.538360631,0.185786206,0.169153917,0.557625735,0.185786206,0.113682515,0.571520598,0.185786206,0.057116288,0.579911405,0.185786206,6.82642E-16,0.582717348,0.185786206,-0.057116288,0.579911405,0.185786206,-0.113682515,0.571520598,0.185786206,-0.169153917,0.557625735,0.185786206,-0.222996275,0.538360631,0.185786206,-0.274691057,0.513910821,0.185786206,-0.323740413,0.484511768,0.185786206,-0.369671972,0.450446602,0.185786206,-0.412043389,0.412043389,0.185786206,-0.450446602,0.369671972,0.185786206,-0.484511768,0.323740413,0.185786206,-0.513910821,0.274691057,0.185786206,-0.538360631,0.222996275,0.185786206,-0.557625735,0.169153917,0.185786206,-0.571520598,0.113682515,0.185786206,-0.579911405,0.057116288,0.185786206,-0.582717348,-2.77517E-15,0.185786206,-0.579911405,-0.057116288,0.185786206,-0.571520598,-0.113682515,0.185786206,-0.557625735,-0.169153917,0.185786206,-0.538360631,-0.222996275,0.185786206,-0.513910821,-0.274691057,0.185786206,-0.484511768,-0.323740413,0.185786206,-0.450446602,-0.369671972,0.185786206,-0.412043389,-0.412043389,0.185786206,-0.369671972,-0.450446602,0.185786206,-0.323740413,-0.484511768,0.185786206,-0.274691057,-0.513910821,0.185786206,-0.222996275,-0.538360631,0.185786206,-0.169153917,-0.557625735,0.185786206,-0.113682515,-0.571520598,0.185786206,-0.057116288,-0.579911405,0.185786206,7.65627E-15,-0.582717348,0.185786206,0.057116288,-0.579911405,0.185786206,0.113682515,-0.571520598,0.185786206,0.169153917,-0.557625735,0.185786206,0.222996275,-0.538360631,0.185786206,0.274691057,-0.513910821,0.185786206,0.323740413,-0.484511768,0.185786206,0.369671972,-0.450446602,0.185786206,0.412043389,-0.412043389,0.185786206,0.450446602,-0.369671972,0.185786206,0.484511768,-0.323740413,0.185786206,0.513910821,-0.274691057,0.185786206,0.538360631,-0.222996275,0.185786206,0.557625735,-0.169153917,0.185786206,0.571520598,-0.113682515,0.185786206,0.579911405,-0.057116288,0.185786206
0.564213794,0,0.167282652,0.56149695,0.055302623,0.167282652,0.553372584,0.110072651,0.167282652,0.539918937,0.163782619,0.167282652,0.521265576,0.215915271,0.167282652,0.497592142,0.265968541,0.167282652,0.469126624,0.313460389,0.167282652,0.43614316,0.357933442,0.167282652,0.3989594,0.3989594,0.167282652,0.357933442,0.43614316,0.167282652,0.313460389,0.469126624,0.167282652,0.265968541,0.497592142,0.167282652,0.215915271,0.521265576,0.167282652,0.163782619,0.539918937,0.167282652,0.110072651,0.553372584,0.167282652,0.055302623,0.56149695,0.167282652,6.60965E-16,0.564213794,0.167282652,-0.055302623,0.56149695,0.167282652,-0.110072651,0.553372584,0.167282652,-0.163782619,0.539918937,0.167282652,-0.215915271,0.521265576,0.167282652,-0.265968541,0.497592142,0.167282652,-0.313460389,0.469126624,0.167282652,-0.357933442,0.43614316,0.167282652,-0.3989594,0.3989594,0.167282652,-0.43614316,0.357933442,0.167282652,-0.469126624,0.313460389,0.167282652,-0.497592142,0.265968541,0.167282652,-0.521265576,0.215915271,0.167282652,-0.539918937,0.163782619,0.167282652,-0.553372584,0.110072651,0.167282652,-0.56149695,0.055302623,0.167282652,-0.564213794,-2.68705E-15,0.167282652,-0.56149695,-0.055302623,0.167282652,-0.553372584,-0.110072651,0.167282652,-0.539918937,-0.163782619,0.167282652,-0.521265576,-0.215915271,0.167282652,-0.497592142,-0.265968541,0.167282652,-0.469126624,-0.313460389,0.167282652,-0.43614316,-0.357933442,0.167282652,-0.3989594,-0.3989594,0.167282652,-0.357933442,-0.43614316,0.167282652,-0.313460389,-0.469126624,0.167282652,-0.265968541,-0.497592142,0.167282652,-0.215915271,-0.521265576,0.167282652,-0.163782619,-0.539918937,0.167282652,-0.110072651,-0.553372584,0.167282652,-0.055302623,-0.56149695,0.167282652,7.41315E-15,-0.564213794,0.167282652,0.055302623,-0.56149695,0.167282652,0.110072651,-0.553372584,0.167282652,0.163782619,-0.539918937,0.167282652,0.215915271,-0.521265576,0.167282652,0.265968541,-0.497592142,0.167282652,0.313460389,-0.469126624,0.167282652,0.357933442,-0.43614316,0.167282652,0.3989594,-0.3989594,0.167282652,0.43614316,-0.357933442,0.167282652,0.469126624,-0.313460389,0.167282652,0.497592142,-0.265968541,0.167282652,0.521265576,-0.215915271,0.167282652,0.539918937,-0.163782619,0.167282652,0.553372584,-0.110072651,0.167282652,0.56149695,-0.055302623,0.167282652
0.547745751,0,0.146946313,0.545108206,0.053688472,0.146946313,0.53722097,0.106859895,0.146946313,0.524160003,0.159002199,0.146946313,0.506051089,0.209613224,0.146946313,0.483068626,0.25820556,0.146946313,0.455433948,0.304311235,0.146946313,0.423413192,0.347486226,0.146946313,0.387314735,0.387314735,0.146946313,0.347486226,0.423413192,0.146946313,0.304311235,0.455433948,0.146946313,0.25820556,0.483068626,0.146946313,0.209613224,0.506051089,0.146946313,0.159002199,0.524160003,0.146946313,0.106859895,0.53722097,0.146946313,0.053688472,0.545108206,0.146946313,6.41673E-16,0.547745751,0.146946313,-0.053688472,0.545108206,0.146946313,-0.106859895,0.53722097,0.146946313,-0.159002199,0.524160003,0.146946313,-0.209613224,0.506051089,0.146946313,-0.25820556,0.483068626,0.146946313,-0.304311235,0.455433948,0.146946313,-0.347486226,0.423413192,0.146946313,-0.387314735,0.387314735,0.146946313,-0.423413192,0.347486226,0.146946313,-0.455433948,0.304311235,0.146946313,-0.483068626,0.25820556,0.146946313,-0.506051089,0.209613224,0.146946313,-0.524160003,0.159002199,0.146946313,-0.53722097,0.106859895,0.146946313,-0.545108206,0.053688472,0.146946313,-0.547745751,-2.60862E-15,0.146946313,-0.545108206,-0.053688472,0.146946313,-0.53722097,-0.106859895,0.146946313,-0.524160003,-0.159002199,0.146946313,-0.506051089,-0.209613224,0.146946313,-0.483068626,-0.25820556,0.146946313,-0.455433948,-0.304311235,0.146946313,-0.423413192,-0.347486226,0.146946313,-0.387314735,-0.387314735,0.146946313,-0.347486226,-0.423413192,0.146946313,-0.304311235,-0.455433948,0.146946313,-0.25820556,-0.483068626,0.146946313,-0.209613224,-0.506051089,0.146946313,-0.159002199,-0.524160003,0.146946313,-0.106859895,-0.53722097,0.146946313,-0.053688472,-0.545108206,0.146946313,7.19678E-15,-0.547745751,0.146946313,0.053688472,-0.545108206,0.146946313,0.106859895,-0.53722097,0.146946313,0.159002199,-0.524160003,0.146946313,0.209613224,-0.506051089,0.146946313,0.25820556,-0.483068626,0.146946313,0.304311235,-0.455433948,0.146946313,0.347486226,-0.423413192,0.146946313,0.387314735,-0.387314735,0.146946313,0.423413192,-0.347486226,0.146946313,0.455433948,-0.304311235,0.146946313,0.483068626,-0.25820556,0.146946313,0.506051089,-0.209613224,0.146946313,0.524160003,-0.159002199,0.146946313,0.53722097,-0.106859895,0.146946313,0.545108206,-0.053688472,0.146946313
