Z,X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31
31,64,0,63,19,59,36,53,53,45,67,36,79,24,88,12,93,0,95,-12,93,-24,88,-36,79,-45,67,-53,53,-59,36,-63,19,-64,0,-63,-19,-59,-36,-53,-53,-45,-67,-36,-79,-24,-88,-12,-93,0,-95,12,-93,24,-88,36,-79,45,-67,53,-53,59,-36,63,-19
30,70,0,69,18,65,36,58,52,49,66,39,78,27,87,14,92,0,94,-14,92,-27,87,-39,78,-49,66,-58,52,-65,36,-69,18,-70,0,-69,-18,-65,-36,-58,-52,-49,-66,-39,-78,-27,-87,-14,-92,0,-94,14,-92,27,-87,39,-78,49,-66,58,-52,65,-36,69,-18
29,76,0,75,18,70,36,63,52,54,66,42,77,29,86,15,91,0,93,-15,91,-29,86,-42,77,-54,66,-63,52,-70,36,-75,18,-76,0,-75,-18,-70,-36,-63,-52,-54,-66,-42,-77,-29,-86,-15,-91,0,-93,15,-91,29,-86,42,-77,54,-66,63,-52,70,-36,75,-18
26,81,0,79,18,75,34,67,50,57,64,45,75,31,83,16,88,0,90,-16,88,-31,83,-45,75,-57,64,-67,50,-75,34,-79,18,-81,0,-79,-18,-75,-34,-67,-50,-57,-64,-45,-75,-31,-83,-16,-88,0,-90,16,-88,31,-83,45,-75,57,-64,67,-50,75,-34,79,-18
22,86,0,84,17,79,33,72,48,61,61,48,72,33,79,17,84,0,86,-17,84,-33,79,-48,72,-61,61,-72,48,-79,33,-84,17,-86,0,-84,-17,-79,-33,-72,-48,-61,-61,-48,-72,-33,-79,-17,-84,0,-86,17,-84,33,-79,48,-72,61,-61,72,-48,79,-33,84,-17
17,90,0,88,16,83,31,75,45,64,57,50,67,34,75,18,79,0,81,-18,79,-34,75,-50,67,-64,57,-75,45,-83,31,-88,16,-90,0,-88,-16,-83,-31,-75,-45,-64,-57,-50,-67,-34,-75,-18,-79,0,-81,18,-79,34,-75,50,-67,64,-57,75,-45,83,-31,88,-16
12,93,0,91,15,86,29,77,42,66,54,52,63,36,70,18,75,0,76,-18,75,-36,70,-52,63,-66,54,-77,42,-86,29,-91,15,-93,0,-91,-15,-86,-29,-77,-42,-66,-54,-52,-63,-36,-70,-18,-75,0,-76,18,-75,36,-70,52,-63,66,-54,77,-42,86,-29,91,-15
6,94,0,92,14,87,27,78,39,66,49,52,58,36,65,18,69,0,70,-18,69,-36,65,-52,58,-66,49,-78,39,-87,27,-92,14,-94,0,-92,-14,-87,-27,-78,-39,-66,-49,-52,-58,-36,-65,-18,-69,0,-70,18,-69,36,-65,52,-58,66,-49,78,-39,87,-27,92,-14
0,95,0,93,12,88,24,79,36,67,45,53,53,36,59,19,63,0,64,-19,63,-36,59,-53,53,-67,45,-79,36,-88,24,-93,12,-95,0,-93,-12,-88,-24,-79,-36,-67,-45,-53,-53,-36,-59,-19,-63,0,-64,19,-63,36,-59,53,-53,67,-45,79,-36,88,-24,93,-12
-6,94,0,92,11,87,22,78,32,66,41,52,48,36,54,18,57,0,58,-18,57,-36,54,-52,48,-66,41,-78,32,-87,22,-92,11,-94,0,-92,-11,-87,-22,-78,-32,-66,-41,-52,-48,-36,-54,-18,-57,0,-58,18,-57,36,-54,52,-48,66,-41,78,-32,87,-22,92,-11
-12,93,0,91,10,86,20,77,29,66,37,52,43,36,48,18,51,0,52,-18,51,-36,48,-52,43,-66,37,-77,29,-86,20,-91,10,-93,0,-91,-10,-86,-20,-77,-29,-66,-37,-52,-43,-36,-48,-18,-51,0,-52,18,-51,36,-48,52,-43,66,-37,77,-29,86,-20,91,-10
-17,90,0,88,9,83,18,75,26,64,33,50,39,34,43,18,46,0,47,-18,46,-34,43,-50,39,-64,33,-75,26,-83,18,-88,9,-90,0,-88,-9,-83,-18,-75,-26,-64,-33,-50,-39,-34,-43,-18,-46,0,-47,18,-46,34,-43,50,-39,64,-33,75,-26,83,-18,88,-9
-22,86,0,84,8,79,16,72,23,61,30,48,35,33,39,17,41,0,42,-17,41,-33,39,-48,35,-61,30,-72,23,-79,16,-84,8,-86,0,-84,-8,-79,-16,-72,-23,-61,-30,-48,-35,-33,-39,-17,-41,0,-42,17,-41,33,-39,48,-35,61,-30,72,-23,79,-16,84,-8
-26,81,0,79,7,75,15,67,21,57,27,45,32,31,35,16,37,0,38,-16,37,-31,35,-45,32,-57,27,-67,21,-75,15,-79,7,-81,0,-79,-7,-75,-15,-67,-21,-57,-27,-45,-32,-31,-35,-16,-37,0,-38,16,-37,31,-35,45,-32,57,-27,67,-21,75,-15,79,-7
-29,76,0,75,7,70,13,63,19,54,25,42,29,29,32,15,34,0,35,-15,34,-29,32,-42,29,-54,25,-63,19,-70,13,-75,7,-76,0,-75,-7,-70,-13,-63,-19,-54,-25,-42,-29,-29,-32,-15,-34,0,-35,15,-34,29,-32,42,-29,54,-25,63,-19,70,-13,75,-7
-30,70,0,69,7,65,13,58,19,49,24,39,28,27,31,14,33,0,34,-14,33,-27,31,-39,28,-49,24,-58,19,-65,13,-69,7,-70,0,-69,-7,-65,-13,-58,-19,-49,-24,-39,-28,-27,-31,-14,-33,0,-34,14,-33,27,-31,39,-28,49,-24,58,-19,65,-13,69,-7
-31,64,0,63,6,59,13,53,18,45,23,36,27,24,30,12,32,0,33,-12,32,-24,30,-36,27,-45,23,-53,18,-59,13,-63,6,-64,0,-63,-6,-59,-13,-53,-18,-45,-23,-36,-27,-24,-30,-12,-32,0,-33,12,-32,24,-30,36,-27,45,-23,53,-18,59,-13,63,-6
-30,58,0,57,7,54,13,48,19,41,24,32,28,22,31,11,33,0,34,-11,33,-22,31,-32,28,-41,24,-48,19,-54,13,-57,7,-58,0,-57,-7,-54,-13,-48,-19,-41,-24,-32,-28,-22,-31,-11,-33,0,-34,11,-33,22,-31,32,-28,41,-24,48,-19,54,-13,57,-7
-29,52,0,51,7,48,13,43,19,37,25,29,29,20,32,10,34,0,35,-10,34,-20,32,-29,29,-37,25,-43,19,-48,13,-51,7,-52,0,-51,-7,-48,-13,-43,-19,-37,-25,-29,-29,-20,-32,-10,-34,0,-35,10,-34,20,-32,29,-29,37,-25,43,-19,48,-13,51,-7
